chip x0 y0 channel x y
9 86.3 -47.8 34 -64.3 69.8
9 86.3 -47.8 35 -64.3 75.3
9 86.3 -47.8 36 -75.3 58.8
9 86.3 -47.8 37 -64.3 80.8
9 86.3 -47.8 38 -69.8 64.3
9 86.3 -47.8 39 -80.8 47.8
9 86.3 -47.8 40 -86.3 86.3
9 86.3 -47.8 41 -69.8 69.8
9 86.3 -47.8 42 -86.3 47.8
9 86.3 -47.8 43 -69.8 75.3
9 86.3 -47.8 44 -80.8 86.3
9 86.3 -47.8 45 -69.8 86.3
9 86.3 -47.8 46 -69.8 80.8
9 86.3 -47.8 47 -86.3 80.8
9 86.3 -47.8 48 -75.3 86.3
9 86.3 -47.8 49 -86.3 75.3
9 86.3 -47.8 50 -80.8 80.8
9 86.3 -47.8 51 -86.3 69.8
9 86.3 -47.8 52 -75.3 80.8
9 86.3 -47.8 53 -80.8 75.3
9 86.3 -47.8 54 -86.3 64.3
9 86.3 -47.8 55 -86.3 58.8
9 86.3 -47.8 56 -80.8 69.8
